Model,Accuracy,Precision,Recall,F1-Score
SVM,0.6812582091580235,0.6686828125253049,0.6812582091580235,0.673309848853708
SVM Tuned,0.6755438803085888,0.6599309279140116,0.6755438803085888,0.6645040984626821
Logistic Regression,0.6301689388106345,0.5817147960922074,0.6301689388106345,0.5990676570837842
Logistic Regression Tuned,0.629965125232121,0.5819998510509364,0.629965125232121,0.5991618482144361
MLP,0.6973896764648158,0.6892687715076545,0.6973896764648158,0.6925439433746264
LSTM,0.6952609750016998,0.6873284692715524,0.6952609750016998,0.6904342766712684
