binary_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative,subject,support
0.7083922677982084,0.47058823529411764,0.04552845528455285,0.08302446256486286,0.9790836653386454,2460,6024,2,8484
0.6591647331786543,0.43414634146341463,0.48671875,0.4589318600368324,0.732013201320132,2560,6060,3,8620
0.7516166281755197,0.5921364282330649,0.4921259842519685,0.5375188131584605,0.859313725490196,2540,6120,4,8660
0.8734776725304465,0.9847074468085106,0.5740310077519379,0.7252693437806073,0.9963422391857506,2580,6288,5,8868
0.9212079927338783,0.8309027777777778,0.9203846153846154,0.8733576642335766,0.9215528350515464,2600,6208,6,8808
0.8069836214740673,0.6019371604063312,0.9953125,0.750184012954512,0.7296213093709885,2560,6232,7,8792
0.8279764599366229,0.8295454545454546,0.5447761194029851,0.6576576576576577,0.9512670565302144,2680,6156,8,8836
0.7241693218024579,0.819672131147541,0.07751937984496124,0.141643059490085,0.9929123711340206,2580,6208,9,8788
0.9276460254721124,0.9951391957578436,0.776551724137931,0.8723610304086771,0.9982280927835051,2900,6208,10,9108
0.9240350089766607,0.8017725258493353,0.9977941176470588,0.8891072891072891,0.8916343669250646,2720,6192,11,8912
0.7057502246181492,0.5034897246994959,0.9777861445783133,0.6647043767596621,0.5901088348271447,2656,6248,13,8904
0.7623660816047413,0.7695004382120947,0.3251851851851852,0.45717261129914083,0.9567006914718472,2700,6074,14,8774
0.6471115091804747,0.45732217573221756,0.7966472303206997,0.5810738968633705,0.5808015513897867,2744,6188,15,8932
0.7173570463755066,0.5180099502487562,0.9669390787518574,0.6746144874951406,0.6088501291989664,2692,6192,16,8884
0.805140597539543,0.7255851493139629,0.6217150760719226,0.6696461824953445,0.8905344494526722,2892,6212,17,9104
