model,binary_accuracy,binary_f1,binary_precision,binary_recall,binary_specificity
SVM,0.8259960445068466,0.7043568597776039,0.7206140926387613,0.6888169777242625,0.8850448115754238
SVM Tuned,0.8143333786252397,0.6802973977695167,0.7059347181008903,0.6564569536423841,0.8822913292301048
Logistic Regression,0.784878542204508,0.6434808717191683,0.6418268030945845,0.6451434878587197,0.8450275348234532
Logistic Regression Tuned,0.7843501366305841,0.6428821441072053,0.6407355726103857,0.6450431466987758,0.8443148688046648
MLP,0.835847034135,0.7314844541031783,0.7202957054617966,0.7430262893839052,0.8758017492711371
LSTM,0.8155157174262856,0.6998967703878484,0.6860364267129229,0.714328717639976,0.8591211285876439
