subject,accuracy,precision,recall,f1,support
2,0.6221122112211221,0.6183130130774782,0.6221122112211221,0.5997816743432927,8484
3,0.5012761020881671,0.48630870603941184,0.5012761020881671,0.48899499536466523,8620
4,0.8379907621247114,0.8702765268463171,0.8379907621247114,0.7963243190666857,8660
5,0.642083897158322,0.6109508601076331,0.642083897158322,0.5814662400338716,8868
6,0.48319709355131696,0.4929615111106962,0.48319709355131696,0.45099151918950414,8808
7,0.7349863512283894,0.6280814348959347,0.7349863512283894,0.6719715027386165,8792
8,0.6905839746491625,0.6851431456485106,0.6905839746491625,0.6871569302148992,8836
9,0.8121301775147929,0.8358778487653253,0.8121301775147929,0.799652060568613,8788
10,0.7246376811594203,0.6592786572829823,0.7246376811594203,0.6886304955067534,9108
11,0.8011669658886894,0.8147768521547756,0.8011669658886894,0.7527056806836468,8912
13,0.6606019766397125,0.5632462877589703,0.6606019766397125,0.5933700098268322,8904
14,0.6849783451105539,0.7364111962830502,0.6849783451105539,0.6679987625213346,8774
15,0.6166592028660994,0.7985175886078328,0.6166592028660994,0.6542404131443135,8932
16,0.7619315623592976,0.8235040816801248,0.7619315623592976,0.7770721199505669,8884
17,0.6407073813708261,0.7479857321341683,0.6407073813708261,0.6506580775330857,9104
