binary_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative,subject,support
0.7072135785007072,0.45041322314049587,0.0443089430894309,0.08068097705403404,0.977921646746348,2460,6024,2,8484
0.6597447795823665,0.43508527671423597,0.48828125,0.4601509295048776,0.7321782178217822,2560,6060,3,8620
0.7510392609699769,0.5921305182341651,0.4858267716535433,0.5337370242214533,0.8611111111111112,2540,6120,4,8660
0.87404149751917,0.9847581179589132,0.575968992248062,0.7268280753240401,0.9963422391857506,2580,6288,5,8868
0.9204132606721163,0.8291161178509532,0.92,0.872196900638104,0.9205863402061856,2600,6208,6,8808
0.8027752502274795,0.5966307908282639,0.99609375,0.746268656716418,0.7233632862644416,2560,6232,7,8792
0.8294477138976912,0.8315432447710571,0.5488805970149254,0.6612721959991009,0.951591942820013,2680,6156,8,8836
0.7241693218024579,0.8223140495867769,0.07713178294573643,0.1410347271438696,0.9930734536082474,2580,6208,9,8788
0.9274264382960035,0.9946973044631021,0.7762068965517241,0.8719736587255471,0.9980670103092784,2900,6208,10,9108
0.9240350089766607,0.8017725258493353,0.9977941176470588,0.8891072891072891,0.8916343669250646,2720,6192,11,8912
0.7053009883198562,0.5030983733539891,0.9781626506024096,0.6644501278772379,0.5893085787451985,2656,6248,13,8904
0.7627080009117848,0.7705779334500875,0.32592592592592595,0.45809474232170744,0.9568653276259467,2700,6074,14,8774
0.645320197044335,0.45566708490171476,0.7940962099125365,0.5790592612277439,0.5793471234647706,2744,6188,15,8932
0.7169067987393066,0.5176049333598568,0.9665676077265973,0.6741805933411064,0.6083656330749354,2692,6192,16,8884
0.8039323374340949,0.7221999197109594,0.622060857538036,0.6684005201560468,0.8886027044430135,2892,6212,17,9104
