binary_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative,subject,support
0.8207213578500707,1.0,0.38170731707317074,0.5525154457193292,1.0,2460,6024,2,8484
0.7127610208816705,0.5106329113924051,0.787890625,0.6196620583717358,0.681023102310231,2560,6060,3,8620
0.9495381062355658,0.8536831483350151,0.9992125984251968,0.920732813350263,0.928921568627451,2540,6120,4,8660
0.7316193053676139,0.576103500761035,0.2934108527131783,0.38880328710837186,0.9114185750636132,2580,6288,5,8868
0.7646457765667575,0.5759584894782358,0.7684615384615384,0.6584280771131982,0.7630476804123711,2600,6208,6,8808
0.8390582347588716,0.6706408345752608,0.87890625,0.760777683854607,0.8226893453145058,2560,6232,7,8792
0.9138750565866908,0.7854805117524546,0.9850746268656716,0.8740274788942228,0.8828784925276153,2680,6156,8,8836
0.7983614019116978,0.9891041162227603,0.31666666666666665,0.47974163241338813,0.9985502577319587,2580,6208,9,8788
0.8924022837066315,0.9853387259858443,0.6720689655172414,0.7990979909799097,0.9953286082474226,2900,6208,10,9108
0.9202199281867145,0.8233022207917605,0.9404411764705882,0.8779818088210056,0.9113372093023255,2720,6192,11,8912
0.8781446540880503,0.7214547504933747,0.9634789156626506,0.825084636466226,0.8418693982074263,2656,6248,13,8904
0.8340551629815364,0.9600591715976331,0.48074074074074075,0.6406712734452122,0.9911096476786302,2700,6074,14,8774
0.8928571428571429,0.9421078673923801,0.6938775510204082,0.7991605456453306,0.9810924369747899,2744,6188,15,8932
0.9788383610986042,1.0,0.9301634472511144,0.9638183217859893,1.0,2692,6192,16,8884
0.6118189806678384,0.450046685340803,1.0,0.6207340631036703,0.43110109465550545,2892,6212,17,9104
