subject,accuracy,precision,recall,f1,support
2,0.5484441301272984,0.4279665563344405,0.5484441301272984,0.4058077286039421,8484
3,0.535614849187935,0.5356904199959716,0.535614849187935,0.5350269144136749,8620
4,0.5817551963048498,0.5347330767525176,0.5817551963048498,0.5524958980712847,8660
5,0.7053450608930988,0.6366860145345926,0.7053450608930988,0.6356253321989181,8868
6,0.8265213442325159,0.8458061127866918,0.8265213442325159,0.8102376498179362,8808
7,0.6889217470427661,0.5930257333394652,0.6889217470427661,0.626133047157353,8792
8,0.6714576731552738,0.611496818274438,0.6714576731552738,0.6074030915065171,8836
9,0.5801092398725535,0.7122584430106123,0.5801092398725535,0.4682239113128231,8788
10,0.7262845849802372,0.6648560476998666,0.7262845849802372,0.6809074511822882,9108
11,0.796229802513465,0.8046707255577424,0.796229802513465,0.7565857124557276,8912
13,0.6416217430368374,0.7074561235426002,0.6416217430368374,0.6019685267941043,8904
14,0.593229997720538,0.7028896201707922,0.593229997720538,0.5111839915367409,8774
15,0.35893416927899685,0.6042662685200705,0.35893416927899685,0.3380438848567687,8932
16,0.5424358397118415,0.6888908862170517,0.5424358397118415,0.5391871876066054,8884
17,0.6446616871704746,0.5555424904441755,0.6446616871704746,0.5886214971902003,9104
