binary_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative,subject,support
0.8870815652993871,0.9870298313878081,0.6186991869918699,0.7606196901549226,0.9966799468791501,2460,6024,2,8484
0.7080046403712297,0.5064506450645064,0.659375,0.5728830816222638,0.7285478547854786,2560,6060,3,8620
0.9814087759815242,0.9722111949186185,0.9641732283464567,0.9681755287606246,0.988562091503268,2540,6120,4,8660
0.8081867388362652,0.842023346303502,0.4193798449612403,0.5598965071151358,0.9677162849872774,2580,6288,5,8868
0.508628519527702,0.22761664564943254,0.2776923076923077,0.25017325017325015,0.6053479381443299,2600,6208,6,8808
0.8192675159235668,0.6255495215929662,0.944921875,0.7527617862144079,0.7676508344030809,2560,6232,7,8792
0.8379357175192395,0.7508038585209004,0.6970149253731344,0.7229102167182663,0.8992852501624431,2680,6156,8,8836
0.8586709148839327,0.9671787709497207,0.5368217054263565,0.6904287138584247,0.9924291237113402,2580,6208,9,8788
0.9535573122529645,0.937169078715143,0.9155172413793103,0.9262166405023547,0.9713273195876289,2900,6208,10,9108
0.809245960502693,0.6154891304347826,0.9992647058823529,0.7617713004484304,0.7257751937984496,2720,6192,11,8912
0.8231132075471698,0.7706559839759639,0.5794427710843374,0.6615087040618955,0.9266965428937259,2656,6248,13,8904
0.7992933667654434,0.9180765805877115,0.38185185185185183,0.5393669892754381,0.9848534738228515,2700,6074,14,8774
0.8225481415136587,0.9321401938851603,0.4555393586005831,0.6119951040391677,0.9852941176470589,2744,6188,15,8932
0.9897568662764521,0.967301473230327,1.0,0.9833789954337899,0.9853036175710594,2692,6192,16,8884
0.781634446397188,0.6137393054856568,0.8433609958506224,0.7104573259539761,0.7528976175144881,2892,6212,17,9104
