subject,accuracy,precision,recall,f1,support
2,0.549033474776049,0.4338030258246283,0.549033474776049,0.40653620410232794,8484
3,0.5342227378190255,0.5333383235905498,0.5342227378190255,0.5331820848272534,8620
4,0.5823325635103926,0.5341724373094271,0.5823325635103926,0.552718838958046,8660
5,0.7047812359043752,0.6364335032404854,0.7047812359043752,0.6349973766918313,8868
6,0.827316076294278,0.8465861205724773,0.827316076294278,0.8108142062042398,8808
7,0.6933575978161965,0.5955613984988386,0.6933575978161965,0.6301846386829076,8792
8,0.6698732458125849,0.6057322420852425,0.6698732458125849,0.605188755835401,8836
9,0.579654073736914,0.7113532746033089,0.579654073736914,0.4674305623162807,8788
10,0.7287000439174353,0.6655983241467731,0.7287000439174353,0.6822500935263184,9108
11,0.795556552962298,0.8044435896089549,0.795556552962298,0.7550956422835939,8912
13,0.6417340521114105,0.7073081150099739,0.6417340521114105,0.6016063996988561,8904
14,0.5928880784134944,0.7024507536736271,0.5928880784134944,0.5107843852604359,8774
15,0.35815047021943575,0.6013786394409875,0.35815047021943575,0.3362143024089823,8932
16,0.5413102206213417,0.6884232086304245,0.5413102206213417,0.5381796525902272,8884
17,0.6456502636203867,0.5564203804684249,0.6456502636203867,0.589172052581849,9104
