Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,binary_accuracy,binary_balanced_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative
Torch MLP,0.8451741032227356,0.7985387846354443,0.8212900869358152,0.7985387846354443,0.8083536091741628,0.842336613688671,0.8451741032227356,0.7985387846354443,0.7706992506917887,0.6832602883210673,0.7243505449869962,0.9138172809498212,36279,85574
Torch MLP Balanced,0.8371234192018252,0.8001506464173926,0.8065688401653673,0.8001506464173926,0.8032178632218419,0.8362620384300917,0.8371234192018252,0.8001506464173926,0.7347831056752586,0.7087571322252543,0.7215355043284273,0.8915441606095309,36279,85574
Linear SVM,0.8177229940994477,0.7948885383453947,0.7813907927526476,0.7948885383453947,0.7873344189747544,0.8198559076372475,0.8177229940994477,0.7948885383453947,0.6780218667746507,0.7384437277763995,0.706944096264728,0.8513333489143898,36279,85574
Logistic Regression,0.8331678333729986,0.7685627764024979,0.8154794092278912,0.7685627764024979,0.7857060968486385,0.8265045187432489,0.8331678333729986,0.7685627764024979,0.7825209012328185,0.6088646324319854,0.6848559071108562,0.9282609203730104,36279,85574
