Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Torch MLP Balanced,0.677439209539363,0.6096024843040574,0.6114628656890083,0.6096024843040574,0.6091852765438542,0.6841329705475727
Torch MLP,0.6842506955101639,0.5834337814933828,0.6010469186652646,0.5834337814933828,0.5904439476959387,0.6785448970670939
Linear SVM,0.6469270350340164,0.5467473024760313,0.5412646637074953,0.5467473024760313,0.5408228349171702,0.6343984253268011
Logistic Regression,0.6710955003159544,0.5315636312766953,0.5290303661695505,0.5315636312766953,0.5177689637409447,0.6375569041360222
