Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Precision,Recall,F1-Score
Torch MLP Balanced,0.677439209539363,0.6096024843040574,0.6114628656890083,0.6096024843040574,0.6091852765438542,0.6924081498117566,0.677439209539363,0.6841329705475727,0.6924081498117566,0.677439209539363,0.6841329705475727
Torch MLP,0.6842506955101639,0.5834337814933828,0.6010469186652646,0.5834337814933828,0.5904439476959387,0.6763661677340814,0.6842506955101639,0.6785448970670939,0.6763661677340814,0.6842506955101639,0.6785448970670939
