binary_accuracy,binary_balanced_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative,subject,support
0.9212050984936269,0.8981259111912923,0.8757589911256423,0.8442143178748311,0.859697386519945,0.9520375045077534,2221,5546,2,7767
0.7006200177147919,0.6138913455279025,0.48827514330380406,0.4037052994398966,0.4419811320754717,0.8240773916159083,2321,5582,3,7903
0.9102354274203701,0.8450673620165146,1.0,0.6901347240330291,0.8166623810748265,1.0,2301,5642,4,7943
0.7186848239479818,0.7826463233785818,0.5055555555555555,0.9329346433148227,0.655757393784717,0.6323580034423408,2341,5810,5,8151
0.7725868248671364,0.684669842177975,0.6518950437317784,0.4735281660313427,0.5485770363101079,0.8958115183246074,2361,5730,6,8091
0.928297213622291,0.909200755310694,0.8837004405286344,0.8642826367944851,0.8738836854715748,0.954118873826903,2321,5754,7,8075
0.8392659194482079,0.7410993132899442,0.94375,0.4948791478902089,0.6492878258532653,0.9873194786896795,2441,5678,8,8119
0.8794449262792715,0.8029203596559695,0.9447334200260078,0.6206749252456215,0.7491621551946378,0.9851657940663177,2341,5730,9,8071
0.8785603622929329,0.8118517228692123,0.9806791569086651,0.6294626080420894,0.7667658503089952,0.9942408376963351,2661,5730,10,8391
0.9472849298352654,0.9438397202004396,0.8954071786954844,0.9351068117694478,0.9148264984227129,0.9525726286314316,2481,5714,11,8195
0.7823378526932943,0.8418539891826311,0.576746434614455,0.9871741828713281,0.7281049740616418,0.6965337954939341,2417,5770,13,8187
0.7172506409473812,0.529923206914427,0.9738562091503268,0.06054449410808614,0.11400153022188217,0.9993019197207679,2461,5730,14,8191
0.8992087644552648,0.8490710348130359,0.933781686497672,0.720558882235529,0.8134294727354664,0.977583187390543,2505,5710,15,8215
0.9826129545732827,0.9762905950026405,0.9812578092461475,0.9604565837749695,0.9707457766790276,0.9921246062303115,2453,5714,16,8167
0.8013592464528437,0.7610544742012091,0.6998784933171325,0.6513381078024878,0.6747364310816087,0.8707708405999303,2653,5734,17,8387
