binary_accuracy,binary_balanced_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative,subject,support
0.9306038367452041,0.9307562000788137,0.8427057864710676,0.9311121116614138,0.8847058823529412,0.9304002884962135,2221,5546,2,7767
0.6885992661014805,0.6151982097315014,0.46774193548387094,0.43731150366221455,0.4520151413938989,0.7930849158007882,2321,5582,3,7903
0.9121238826639808,0.8483268144285093,1.0,0.6966536288570186,0.8212090163934426,1.0,2301,5642,4,7943
0.6739050423260949,0.7483018790239986,0.4658331536969174,0.9231097821443828,0.6191977077363897,0.5734939759036145,2341,5810,5,8151
0.6992955135335558,0.6547147029278126,0.48645598194130923,0.5476493011435832,0.5152420800956365,0.7617801047120419,2361,5730,6,8091
0.9206191950464396,0.8858192349042316,0.9093567251461988,0.8039638087031452,0.8534187056940316,0.9676746611053181,2321,5754,7,8075
0.8582337726320975,0.7738115113725124,0.9436038514442916,0.5620647275706677,0.7044929396662387,0.9855582951743571,2441,5678,8,8119
0.9023664973361417,0.8423070643726336,0.9511911679256246,0.6992738146091414,0.8060068931560808,0.9853403141361257,2341,5730,9,8071
0.8747467524728876,0.8071472559817885,0.972972972972973,0.6223224351747464,0.7591107036442815,0.9919720767888307,2661,5730,10,8391
0.9449664429530201,0.947764473068474,0.8748153618906942,0.954856912535268,0.9130853729042204,0.9406720336016801,2481,5714,11,8195
0.7631611090753634,0.8319757365684575,0.5548668503213958,1.0,0.7137162261922338,0.663951473136915,2417,5770,13,8187
0.7342204858991576,0.5581637595353128,0.9863013698630136,0.11702559934985778,0.2092262985833636,0.9993019197207679,2461,5730,14,8191
0.8955569080949483,0.8499171534339378,0.9066666666666666,0.732934131736527,0.8105960264900662,0.9669001751313485,2505,5710,15,8215
0.9778376392800294,0.9726452690347522,0.9663382594417077,0.9596412556053812,0.9629781141337697,0.9856492824641232,2453,5714,16,8167
0.782878263979969,0.7526019401928781,0.6527165932452276,0.6701846965699209,0.6613353170913149,0.8350191838158354,2653,5734,17,8387
