Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Precision,Recall,F1-Score,binary_accuracy,binary_balanced_accuracy,binary_precision,binary_recall,binary_f1,binary_specificity,binary_support_positive,binary_support_negative
Torch MLP,0.8451741032227356,0.7985387846354443,0.8212900869358152,0.7985387846354443,0.8083536091741628,0.841756347697957,0.8451741032227356,0.842336613688671,0.841756347697957,0.8451741032227356,0.842336613688671,0.8451741032227356,0.7985387846354443,0.7706992506917887,0.6832602883210673,0.7243505449869962,0.9138172809498212,36279,85574
Torch MLP Balanced,0.8371234192018252,0.8001506464173926,0.8065688401653673,0.8001506464173926,0.8032178632218419,0.835609387231832,0.8371234192018252,0.8362620384300917,0.835609387231832,0.8371234192018252,0.8362620384300917,0.8371234192018252,0.8001506464173926,0.7347831056752586,0.7087571322252543,0.7215355043284273,0.8915441606095309,36279,85574
