subject,accuracy,precision,recall,f1,support
2,0.7557615552980559,0.673369220258441,0.7557615552980559,0.7081984775464145,7767
3,0.45008224724788054,0.4570864025256303,0.45008224724788054,0.4534325691593373,7903
4,0.8467833312350497,0.8650435570453263,0.8467833312350497,0.8338848515492037,7943
5,0.4495153968838179,0.6226927105705519,0.4495153968838179,0.4439240703964017,8151
6,0.635520949202818,0.5829961941358466,0.635520949202818,0.5999586077448625,8091
7,0.7212383900928793,0.6283286010660368,0.7212383900928793,0.670788165169929,8075
8,0.5990885577041507,0.673788748571162,0.5990885577041507,0.6199722546606564,8119
9,0.7426589022425969,0.7261425879245036,0.7426589022425969,0.7239337635200997,8071
10,0.7280419497080205,0.6760234950070904,0.7280419497080205,0.6930761119251226,8391
11,0.8163514338010982,0.742114839055127,0.8163514338010982,0.7556205157462902,8195
13,0.8095761573225846,0.6822584823897675,0.8095761573225846,0.7404642493044422,8187
14,0.49871810523745574,0.672797246665257,0.4987181052374557,0.42656641902287146,8191
15,0.8110772976262933,0.833673723713688,0.8110772976262933,0.8066676881516048,8215
16,0.7723766376882576,0.8833197054583486,0.7723766376882576,0.7916931211698792,8167
17,0.6264456897579588,0.6111125664025936,0.6264456897579588,0.599407168865772,8387
