,pred_Baseline,pred_Stress,pred_Amusement
true_Baseline,0.7959287455690334,0.07017753780343708,0.13389371662752958
true_Stress,0.23586647923040877,0.7004051930869097,0.06372832768268144
true_Amusement,0.6137857333689554,0.13224686080683942,0.2539674058242052
